company,sector,website,country,opportunity_type,source,source_url,source_type,signals,tech_stack,buying_intent_signals,partnership_signals,fit_score,intent_score,partner_score,risk_score,priority,decision_roles,suggested_channel,recommended_action,first_message_angle,objection_prediction,offer_recommended,next_action,next_action_date,status,owner,notes
Foodics,SaaS Restaurant,foodics.com,SA,DIRECT_CUSTOMER,public_page,https://foodics.com,public_page,HubSpot; WhatsApp Widget; Google Tag Manager; HubSpot Forms; WordPress,HubSpot;WhatsApp Widget;GTM;HubSpot Forms;WordPress,HubSpot; WhatsApp Widget,,78,63,27,15,P1,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Tech confirmed: WhatsApp-native sales
Lucidya,SaaS CXM,lucidya.com,SA,DIRECT_CUSTOMER,public_page,https://lucidya.com,public_page,HubSpot; Google Tag Manager; HubSpot Forms; Webflow,4 tools detected,HubSpot; HubSpot Forms,,70,39,27,15,P1,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Priority — surname connection
Hakbah,Fintech,hakbah.sa,SA,DIRECT_CUSTOMER,public_page,https://hakbah.sa,public_page,WooCommerce; Google Tag Manager; Google Analytics 4; WordPress,4 tools,,,61,21,24,15,P2,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Sary,B2B Marketplace,sary.com,SA,DIRECT_CUSTOMER,public_page,https://sary.com,public_page,WhatsApp Widget; Meta Pixel; WordPress,3 tools,WhatsApp Widget; Meta Pixel,,61,45,16,15,P2,Co-founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Lean Technologies,Fintech API,leantech.me,SA,DIRECT_CUSTOMER,public_page,https://leantech.me,public_page,HubSpot; Google Tag Manager,2 tools,HubSpot,,58,21,21,15,P2,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,API-first fintech
Tamara,BNPL Fintech,tamara.co,SA,DIRECT_CUSTOMER,public_page,https://tamara.co,public_page,WooCommerce; Google Tag Manager; Webflow,3 tools,,,58,21,21,15,P2,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Bayzat Saudi,HR SaaS,bayzat.com,AE-SA,DIRECT_CUSTOMER,public_page,https://bayzat.com,public_page,Google Tag Manager,1 tool,,,47,6,17,15,P2,Regional lead,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Jar,Fintech,jar-app.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,46,0,19,15,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Mnzil,Proptech,mnzil.co,SA,DIRECT_CUSTOMER,public_page,https://mnzil.co,public_page,,0 tools (SPA),,,45,0,18,15,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
BRKZ,ConTech,brkz.com,SA,DIRECT_CUSTOMER,public_page,https://brkz.com,public_page,Google Tag Manager; Hotjar,2 tools,,,45,6,15,15,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Construction B2B
