company,sector,website,country,opportunity_type,source,source_url,signals,tech_stack,fit_score,risk_score,priority,decision_role,channel,recommended_message,next_action,status,notes
Foodics,SaaS Restaurant,foodics.com,SA,DIRECT_CUSTOMER,public_page,https://foodics.com,Series C $170M + hiring sales + WhatsApp widget + HubSpot,HubSpot;WhatsApp Widget;GTM;HubSpot Forms;WordPress,100,LOW,P0,CEO,LINKEDIN_MANUAL,Series C onboarding scale hook,PREPARE_DM,queued,"Tech confirmed: WhatsApp-native sales"
Lucidya,SaaS CXM,lucidya.com,SA,DIRECT_CUSTOMER,public_page,https://lucidya.com,Saudi native CXM + B2B enterprise,4 tools detected,88,LOW,P0,CEO,LINKEDIN_MANUAL,Surname affinity + CXM B2B angle,PREPARE_DM,queued,"Priority — surname connection"
Salla,E-commerce Platform,salla.sa,SA,STRATEGIC_PARTNER,public_page,https://salla.sa,70K merchants + CRM + GA4 + Salla platform,Salla;HubSpot;GTM;GA4;WordPress,93,LOW,P0,CEO,LINKEDIN_MANUAL,Platform add-on via app store,PREPARE_PARTNER_PITCH,queued,"Strategic — distribution layer"
Lean Technologies,Fintech API,leantech.me,SA,DIRECT_CUSTOMER,public_page,https://leantech.me,300+ API customers + SE bottleneck,2 tools,91,LOW,P0,CEO,LINKEDIN_MANUAL,SE pre-qualification layer,PREPARE_DM,queued,"API-first fintech"
BRKZ,ConTech,brkz.com,SA,DIRECT_CUSTOMER,public_page,https://brkz.com,$30M Stride debt,2 tools,83,LOW,P0,Founder,LINKEDIN_MANUAL,Quote workflow automation,PREPARE_DM,queued,"Construction B2B"
Zid,E-commerce Platform,zid.sa,SA,STRATEGIC_PARTNER,public_page,https://zid.sa,15K+ merchants,3 tools,84,LOW,P0,Co-founder,LINKEDIN_MANUAL,Platform add-on similar to Salla,PREPARE_PARTNER_PITCH,queued,"Zid merchants distribution"
Sary,B2B Marketplace,sary.com,SA,DIRECT_CUSTOMER,public_page,https://sary.com,50K SMB retailers,3 tools,82,LOW,P0,Co-founder,LINKEDIN_MANUAL,Merchant success motion,PREPARE_DM,queued,""
Retailo,B2B Marketplace,retailo.co,SA,DIRECT_CUSTOMER,public_page,https://retailo.co,MENAP retail marketplace,0 tools (SPA),81,LOW,P0,Co-founder,LINKEDIN_MANUAL,Marketplace merchant motion,PREPARE_DM,queued,""
Mozn,AI/ML Platform,mozn.com,SA,DIRECT_CUSTOMER,public_page,https://mozn.com,Saudi AI peer,0 tools (SPA),80,LOW,P0,CEO,LINKEDIN_MANUAL,Peer AI sales use-case,PREPARE_DM,queued,""
Tamara,BNPL Fintech,tamara.co,SA,DIRECT_CUSTOMER,public_page,https://tamara.co,$2.4B raised + merchant onboarding,3 tools,89,LOW,P0,CEO,LINKEDIN_MANUAL,Arabic merchant onboarding at scale,PREPARE_DM,queued,""
