company,sector,website,country,opportunity_type,source,source_url,signals,tech_stack,fit_score,risk_score,priority,decision_role,channel,recommended_message,next_action,status,notes,priority_score_num,recommended_action
Jarwal,Marketing Agency,jarwal.com,SA,AGENCY_PARTNER,knowledge,,Saudi digital agency,unknown,15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Agency partner,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Bold Studio,Creative Agency,boldstudio.sa,SA,AGENCY_PARTNER,knowledge,,Saudi creative agency,unknown,15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Creative + service exchange,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Netaq,Marketing Agency,netaq.com,SA,AGENCY_PARTNER,knowledge,,Saudi marketing agency,unknown,15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Agency partner,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Red Box,Agency,redbox.sa,SA,AGENCY_PARTNER,knowledge,,Saudi agency,unknown,15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Agency partner,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Nohayati,Agency,nohayati.com,SA,AGENCY_PARTNER,knowledge,,Saudi content agency,unknown,15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Content + referral,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Peak Content,Marketing Agency,peakcontent.ae,AE,AGENCY_PARTNER,public_page,https://peakcontent.ae,Service exchange target,0 tools (SPA),12,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Agency partner retainer add-on,PREPARE_PARTNER_PITCH,queued,,39,PREPARE_PARTNER_PITCH
Digital8,Marketing Agency,digital8.ae,AE,AGENCY_PARTNER,public_page,https://digital8.ae,Full-service agency,0 tools (SPA),12,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Agency setup + 25% MRR,PREPARE_PARTNER_PITCH,queued,,39,PREPARE_PARTNER_PITCH
Qatar Digital,Digital Agency,qatardigital.qa,QA,AGENCY_PARTNER,public_page,https://qatardigital.qa,KSA/UAE agency,0 tools,12,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Multi-market agency,PREPARE_PARTNER_PITCH,queued,,39,PREPARE_PARTNER_PITCH
Brand Lounge,Branding Agency,thebrandlounge.ae,AE,REFERRAL_PARTNER,public_page,https://thebrandlounge.ae,Enterprise referral,0 tools (SPA),12,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Referral 10% 12 months,PREPARE_PARTNER_PITCH,queued,,37,PREPARE_PARTNER_PITCH
Wavy,Digital Marketing,wavy.sa,SA,AGENCY_PARTNER,public_page,https://wavy.sa,White-label candidate,0 tools (SPA),7,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,White-label 30% MRR,PREPARE_PARTNER_PITCH,queued,Enterprise KSA — highest priority,34,PREPARE_PARTNER_PITCH
Matajer,E-commerce,matajer.sa,SA,AGENCY_PARTNER,knowledge,,Saudi e-commerce implementer,unknown,7,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,E-commerce agency partner,PREPARE_PARTNER_PITCH,queued,,34,PREPARE_PARTNER_PITCH
Zoomly,B2B,zoomly.sa,SA,AGENCY_PARTNER,knowledge,,Saudi B2B agency,unknown,7,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Agency partner,PREPARE_PARTNER_PITCH,queued,,34,PREPARE_PARTNER_PITCH
Yaqeen,Consulting,yaqeen.com,SA,AGENCY_PARTNER,knowledge,,Saudi B2B consulting,unknown,7,LOW,BACKLOG,Partner,LINKEDIN_MANUAL,Consulting partnership,PREPARE_PARTNER_PITCH,queued,,34,PREPARE_PARTNER_PITCH
Mocinno,Accelerator,mocinno.com,SA,REFERRAL_PARTNER,knowledge,,Startup accelerator,unknown,7,LOW,BACKLOG,Partnerships,LINKEDIN_MANUAL,Portfolio intro referrals,PREPARE_PARTNER_PITCH,queued,,32,PREPARE_PARTNER_PITCH
