lead_id,company_ar,company_en,domain,sector,size_band,opportunity_type,fit_score,intent_score,access_score,revenue_score,priority_score,priority_tier,risk_level,recommended_channel,decision_maker,message_angle,reason_1_line,compliance_note,source_type
L-2026-0001,فودكس,Foodics,foodics.com,SaaS Restaurants,200-1000,DIRECT_CUSTOMER,40,30,15,15,100,P0,MEDIUM,LINKEDIN_MANUAL,Ahmad Al-Zaini (CEO),"Series C $170M → scale onboarding","Perfect ICP — Saudi B2B SaaS, high lead volume, confirmed hiring, DM accessible, Arabic-market fit",Public business contact via LinkedIn; no bots; single personalized DM,llm_knowledge
L-2026-0002,لوسيديا,Lucidya,lucidya.com,SaaS CXM,50-200,DIRECT_CUSTOMER,38,22,15,13,88,P0,MEDIUM,LINKEDIN_MANUAL,Abdullah Al-Assiri (CEO),"Surname affinity + CXM B2B","Saudi native SaaS CEO — surname connection + clear B2B enterprise ICP",Public business contact; single manual DM,llm_knowledge
L-2026-0003,سلة,Salla,salla.sa,E-commerce Platform,200-1000,STRATEGIC_PARTNER,40,25,13,15,93,P0,MEDIUM,LINKEDIN_MANUAL,Nawaf Hariri (CEO),"70K merchants distribution → add-on app","Strategic partner — if Salla accepts Dealix as app-store add-on, 70K merchant reach",Public contact via LinkedIn or Twitter DM; platform partnership approach,llm_knowledge
L-2026-0004,لين تكنولوجيز,Lean Technologies,leantech.me,Fintech API,50-200,DIRECT_CUSTOMER,38,26,13,14,91,P0,MEDIUM,LINKEDIN_MANUAL,Hisham Al-Falih (CEO),"300+ API customers → SE bottleneck","API-first fintech with Solutions Engineering bottleneck — Dealix pre-qualifies before SE",Public LinkedIn DM; single personalized,llm_knowledge
L-2026-0005,بركز,BRKZ,brkz.com,ConTech,50-200,DIRECT_CUSTOMER,36,22,13,12,83,P0,MEDIUM,LINKEDIN_MANUAL,Ibrahim Manna (Founder),"$30M Stride debt → construction quotes automation","ConTech w/ recent funding; quote workflow automation is strong Dealix fit",Public LinkedIn DM,llm_knowledge
L-2026-0006,زد,Zid,zid.sa,E-commerce Platform,200-1000,STRATEGIC_PARTNER,36,20,13,15,84,P0,MEDIUM,LINKEDIN_MANUAL,Sultan Mofarreh (Co-founder),"Salla competitor — distribution via 15K+ merchants","Alternative to Salla for platform partnership; similar merchant base size",Public LinkedIn DM,llm_knowledge
L-2026-0007,رتيلو,Retailo,retailo.co,B2B Marketplace,200-1000,DIRECT_CUSTOMER,35,20,13,13,81,P0,MEDIUM,LINKEDIN_MANUAL,Talha Ansari (Co-founder),"MENAP retail marketplace — high lead volume","B2B marketplace with many merchant leads; qualification + booking high-value",Public LinkedIn DM,llm_knowledge
L-2026-0008,ساري,Sary,sary.com,B2B Marketplace,200-1000,DIRECT_CUSTOMER,36,20,13,13,82,P0,MEDIUM,LINKEDIN_MANUAL,Mohammed Aldossary (Co-founder),"50K+ SMB retailers — merchant success motion","B2B marketplace with SMB merchants needing lead response",Public LinkedIn DM,llm_knowledge
L-2026-0009,موزن,Mozn,mozn.com,AI/ML Platform,50-200,DIRECT_CUSTOMER,32,22,13,13,80,P0,LOW,LINKEDIN_MANUAL,Mohammed Al-Rubaian (CEO),"AI peer company — growth sales use-case","Peer AI company in Saudi w/ B2B SaaS sales motion",Public LinkedIn DM,llm_knowledge
L-2026-0010,تمارا,Tamara,tamara.co,BNPL Fintech,200-1000,DIRECT_CUSTOMER,34,28,13,14,89,P0,MEDIUM,LINKEDIN_MANUAL,Abdulmajeed Alsukhan (CEO),"$2.4B raised — merchant success sales","BNPL fintech with heavy merchant onboarding — strong fit for Arabic AI SDR",Public LinkedIn DM,llm_knowledge
