company,sector,website,country,opportunity_type,source,source_url,source_type,signals,tech_stack,buying_intent_signals,partnership_signals,fit_score,intent_score,partner_score,risk_score,priority,decision_roles,suggested_channel,recommended_action,first_message_angle,objection_prediction,offer_recommended,next_action,next_action_date,status,owner,notes
Salla,E-commerce Platform,salla.sa,SA,STRATEGIC_PARTNER,public_page,https://salla.sa,public_page,HubSpot; Salla; Google Tag Manager; Google Analytics 4; WordPress,Salla;HubSpot;GTM;GA4;WordPress,HubSpot; Salla,E-commerce Platform,56,48,37,15,P2,CEO,PARTNER_INTRO,PREPARE_PARTNER_PITCH,Dealix + منتجك = offering مكمّل لعملائكم. add-on أو bundle — نناقش النسب.,product fit/brand alignment,Co-selling / bundle,PREPARE_PARTNER_PITCH,,queued,sami,Strategic — distribution layer
Zid,E-commerce Platform,zid.sa,SA,STRATEGIC_PARTNER,public_page,https://zid.sa,public_page,HubSpot; Zid; Google Tag Manager,3 tools,HubSpot; Zid,E-commerce Platform,55,45,37,15,P2,Co-founder,PARTNER_INTRO,PREPARE_PARTNER_PITCH,Dealix + منتجك = offering مكمّل لعملائكم. add-on أو bundle — نناقش النسب.,product fit/brand alignment,Co-selling / bundle,PREPARE_PARTNER_PITCH,,queued,sami,Zid merchants distribution
STC Pay,Fintech,stcpay.com.sa,SA,STRATEGIC_PARTNER,knowledge,,llm_knowledge,,unknown,,Fintech,44,0,44,15,BACKLOG,BD head,PARTNER_INTRO,PREPARE_PARTNER_PITCH,Dealix + منتجك = offering مكمّل لعملائكم. add-on أو bundle — نناقش النسب.,product fit/brand alignment,Co-selling / bundle,PREPARE_PARTNER_PITCH,,queued,sami,
Unifonic,Comms SaaS,unifonic.com,SA,STRATEGIC_PARTNER,knowledge,,llm_knowledge,,unknown,,Comms SaaS,42,0,42,15,BACKLOG,BD head,PARTNER_INTRO,PREPARE_PARTNER_PITCH,Dealix + منتجك = offering مكمّل لعملائكم. add-on أو bundle — نناقش النسب.,product fit/brand alignment,Co-selling / bundle,PREPARE_PARTNER_PITCH,,queued,sami,Integration synergy
Wafeq,Accounting SaaS,wafeq.com,SA,STRATEGIC_PARTNER,knowledge,,llm_knowledge,,unknown,,Accounting SaaS,42,0,42,15,BACKLOG,Founder,PARTNER_INTRO,PREPARE_PARTNER_PITCH,Dealix + منتجك = offering مكمّل لعملائكم. add-on أو bundle — نناقش النسب.,product fit/brand alignment,Co-selling / bundle,PREPARE_PARTNER_PITCH,,queued,sami,Integration synergy for invoicing
Qoyod,Accounting SaaS,qoyod.com,SA,STRATEGIC_PARTNER,knowledge,,llm_knowledge,,unknown,,Accounting SaaS,42,0,42,15,BACKLOG,Founder,PARTNER_INTRO,PREPARE_PARTNER_PITCH,Dealix + منتجك = offering مكمّل لعملائكم. add-on أو bundle — نناقش النسب.,product fit/brand alignment,Co-selling / bundle,PREPARE_PARTNER_PITCH,,queued,sami,
Dafater,Accounting SaaS,dafater.com,SA,STRATEGIC_PARTNER,knowledge,,llm_knowledge,,unknown,,Accounting SaaS,42,0,42,15,BACKLOG,Founder,PARTNER_INTRO,PREPARE_PARTNER_PITCH,Dealix + منتجك = offering مكمّل لعملائكم. add-on أو bundle — نناقش النسب.,product fit/brand alignment,Co-selling / bundle,PREPARE_PARTNER_PITCH,,queued,sami,
AlMarai,F&B Supplier,almarai.com,SA,STRATEGIC_PARTNER,knowledge,,llm_knowledge,,unknown,,F&B Supplier,32,0,32,15,BACKLOG,Head of trade,PARTNER_INTRO,PREPARE_PARTNER_PITCH,Dealix + منتجك = offering مكمّل لعملائكم. add-on أو bundle — نناقش النسب.,product fit/brand alignment,Co-selling / bundle,PREPARE_PARTNER_PITCH,,queued,sami,
Hyperpay,Payment,hyperpay.com,SA,STRATEGIC_PARTNER,knowledge,,llm_knowledge,,unknown,,Payment,32,0,32,15,BACKLOG,BD head,PARTNER_INTRO,PREPARE_PARTNER_PITCH,Dealix + منتجك = offering مكمّل لعملائكم. add-on أو bundle — نناقش النسب.,product fit/brand alignment,Co-selling / bundle,PREPARE_PARTNER_PITCH,,queued,sami,
PayTabs,Payment,paytabs.com,SA,STRATEGIC_PARTNER,knowledge,,llm_knowledge,,unknown,,Payment,32,0,32,15,BACKLOG,BD head,PARTNER_INTRO,PREPARE_PARTNER_PITCH,Dealix + منتجك = offering مكمّل لعملائكم. add-on أو bundle — نناقش النسب.,product fit/brand alignment,Co-selling / bundle,PREPARE_PARTNER_PITCH,,queued,sami,
Tap Payments,Payment,tap.company,KW-SA,STRATEGIC_PARTNER,knowledge,,llm_knowledge,,unknown,,Payment,27,0,27,15,BACKLOG,BD head,PARTNER_INTRO,PREPARE_PARTNER_PITCH,Dealix + منتجك = offering مكمّل لعملائكم. add-on أو bundle — نناقش النسب.,product fit/brand alignment,Co-selling / bundle,PREPARE_PARTNER_PITCH,,queued,sami,Moyasar alternative
