company,sector,website,country,opportunity_type,source,source_url,signals,tech_stack,fit_score,risk_score,priority,decision_role,channel,recommended_message,next_action,status,notes,priority_score_num,recommended_action
Salla,E-commerce Platform,salla.sa,SA,STRATEGIC_PARTNER,public_page,https://salla.sa,70K merchants + CRM + GA4 + Salla platform,Salla;HubSpot;GTM;GA4;WordPress,12,LOW,P2,CEO,PARTNER_INTRO,Platform add-on via app store,PREPARE_PARTNER_PITCH,queued,Strategic — distribution layer,56,PREPARE_PARTNER_PITCH
Zid,E-commerce Platform,zid.sa,SA,STRATEGIC_PARTNER,public_page,https://zid.sa,15K+ merchants,3 tools,12,LOW,P2,Co-founder,PARTNER_INTRO,Platform add-on similar to Salla,PREPARE_PARTNER_PITCH,queued,Zid merchants distribution,55,PREPARE_PARTNER_PITCH
STC Pay,Fintech,stcpay.com.sa,SA,STRATEGIC_PARTNER,knowledge,,Saudi wallet,unknown,19,LOW,BACKLOG,BD head,PARTNER_INTRO,Payment integration partner,PREPARE_PARTNER_PITCH,queued,,44,PREPARE_PARTNER_PITCH
Unifonic,Comms SaaS,unifonic.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi SMS/communication platform,unknown,17,LOW,BACKLOG,BD head,PARTNER_INTRO,Comms platform partnership,PREPARE_PARTNER_PITCH,queued,Integration synergy,42,PREPARE_PARTNER_PITCH
Wafeq,Accounting SaaS,wafeq.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi accounting SaaS,unknown,17,LOW,BACKLOG,Founder,PARTNER_INTRO,Accounting integration + referral,PREPARE_PARTNER_PITCH,queued,Integration synergy for invoicing,42,PREPARE_PARTNER_PITCH
Qoyod,Accounting SaaS,qoyod.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi accounting SaaS,unknown,17,LOW,BACKLOG,Founder,PARTNER_INTRO,Accounting integration partner,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Dafater,Accounting SaaS,dafater.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi accounting SaaS,unknown,17,LOW,BACKLOG,Founder,PARTNER_INTRO,Accounting integration,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
AlMarai,F&B Supplier,almarai.com,SA,STRATEGIC_PARTNER,knowledge,,Dairy + F&B supplier,unknown,7,LOW,BACKLOG,Head of trade,PARTNER_INTRO,Supplier integration path,RESEARCH_MORE,queued,,32,PREPARE_PARTNER_PITCH
Hyperpay,Payment,hyperpay.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi payment gateway,unknown,7,LOW,BACKLOG,BD head,PARTNER_INTRO,Payment gateway partner,PREPARE_PARTNER_PITCH,queued,,32,PREPARE_PARTNER_PITCH
PayTabs,Payment,paytabs.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi payment gateway,unknown,7,LOW,BACKLOG,BD head,PARTNER_INTRO,Payment gateway partner,PREPARE_PARTNER_PITCH,queued,,32,PREPARE_PARTNER_PITCH
