company,sector,website,country,opportunity_type,source,source_url,source_type,signals,tech_stack,buying_intent_signals,partnership_signals,fit_score,intent_score,partner_score,risk_score,priority,decision_roles,suggested_channel,recommended_action,first_message_angle,objection_prediction,offer_recommended,next_action,next_action_date,status,owner,notes
Jarwal,Marketing Agency,jarwal.com,SA,AGENCY_PARTNER,knowledge,,llm_knowledge,,unknown,,Marketing Agency,42,0,40,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,
Bold Studio,Creative Agency,boldstudio.sa,SA,AGENCY_PARTNER,knowledge,,llm_knowledge,,unknown,,Creative Agency,42,0,40,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,
Netaq,Marketing Agency,netaq.com,SA,AGENCY_PARTNER,knowledge,,llm_knowledge,,unknown,,Marketing Agency,42,0,40,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,
Red Box,Agency,redbox.sa,SA,AGENCY_PARTNER,knowledge,,llm_knowledge,,unknown,,Agency,42,0,40,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,
Nohayati,Agency,nohayati.com,SA,AGENCY_PARTNER,knowledge,,llm_knowledge,,unknown,,Agency,42,0,40,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,
Peak Content,Marketing Agency,peakcontent.ae,AE,AGENCY_PARTNER,public_page,https://peakcontent.ae,public_page,,0 tools (SPA),,Marketing Agency,39,0,37,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,
Digital8,Marketing Agency,digital8.ae,AE,AGENCY_PARTNER,public_page,https://digital8.ae,public_page,,0 tools (SPA),,Marketing Agency,39,0,37,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,
Qatar Digital,Digital Agency,qatardigital.qa,QA,AGENCY_PARTNER,public_page,https://qatardigital.qa,public_page,,0 tools,,Digital Agency,39,0,37,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,
Wavy,Digital Marketing,wavy.sa,SA,AGENCY_PARTNER,public_page,https://wavy.sa,public_page,,0 tools (SPA),,Digital Marketing,34,0,32,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,Enterprise KSA — highest priority
Matajer,E-commerce,matajer.sa,SA,AGENCY_PARTNER,knowledge,,llm_knowledge,,unknown,,E-commerce,34,0,32,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,
