company,sector,website,country,opportunity_type,source,source_url,signals,tech_stack,fit_score,risk_score,priority,decision_role,channel,recommended_message,next_action,status,notes,priority_score_num,recommended_action
Foodics,SaaS Restaurant,foodics.com,SA,DIRECT_CUSTOMER,public_page,https://foodics.com,Series C $170M + hiring sales + WhatsApp widget + HubSpot,HubSpot;WhatsApp Widget;GTM;HubSpot Forms;WordPress,27,LOW,P1,CEO,LINKEDIN_MANUAL,Series C onboarding scale hook,PREPARE_DM,queued,Tech confirmed: WhatsApp-native sales,78,PREPARE_DM
Lucidya,SaaS CXM,lucidya.com,SA,DIRECT_CUSTOMER,public_page,https://lucidya.com,Saudi native CXM + B2B enterprise,4 tools detected,27,LOW,P1,CEO,LINKEDIN_MANUAL,Surname affinity + CXM B2B angle,PREPARE_DM,queued,Priority — surname connection,70,PREPARE_DM
Salla,E-commerce Platform,salla.sa,SA,STRATEGIC_PARTNER,public_page,https://salla.sa,70K merchants + CRM + GA4 + Salla platform,Salla;HubSpot;GTM;GA4;WordPress,12,LOW,P2,CEO,PARTNER_INTRO,Platform add-on via app store,PREPARE_PARTNER_PITCH,queued,Strategic — distribution layer,56,PREPARE_PARTNER_PITCH
Lean Technologies,Fintech API,leantech.me,SA,DIRECT_CUSTOMER,public_page,https://leantech.me,300+ API customers + SE bottleneck,2 tools,21,LOW,P2,CEO,LINKEDIN_MANUAL,SE pre-qualification layer,PREPARE_DM,queued,API-first fintech,58,PREPARE_DM
BRKZ,ConTech,brkz.com,SA,DIRECT_CUSTOMER,public_page,https://brkz.com,$30M Stride debt,2 tools,15,LOW,P2,Founder,LINKEDIN_MANUAL,Quote workflow automation,PREPARE_DM,queued,Construction B2B,45,PREPARE_DM
Zid,E-commerce Platform,zid.sa,SA,STRATEGIC_PARTNER,public_page,https://zid.sa,15K+ merchants,3 tools,12,LOW,P2,Co-founder,PARTNER_INTRO,Platform add-on similar to Salla,PREPARE_PARTNER_PITCH,queued,Zid merchants distribution,55,PREPARE_PARTNER_PITCH
Sary,B2B Marketplace,sary.com,SA,DIRECT_CUSTOMER,public_page,https://sary.com,50K SMB retailers,3 tools,16,LOW,P2,Co-founder,LINKEDIN_MANUAL,Merchant success motion,PREPARE_DM,queued,,61,PREPARE_DM
Retailo,B2B Marketplace,retailo.co,SA,DIRECT_CUSTOMER,public_page,https://retailo.co,MENAP retail marketplace,0 tools (SPA),16,LOW,BACKLOG,Co-founder,LINKEDIN_MANUAL,Marketplace merchant motion,PREPARE_DM,queued,,43,PREPARE_DM
Mozn,AI/ML Platform,mozn.com,SA,DIRECT_CUSTOMER,public_page,https://mozn.com,Saudi AI peer,0 tools (SPA),7,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,Peer AI sales use-case,PREPARE_DM,queued,,34,PREPARE_DM
Tamara,BNPL Fintech,tamara.co,SA,DIRECT_CUSTOMER,public_page,https://tamara.co,$2.4B raised + merchant onboarding,3 tools,21,LOW,P2,CEO,LINKEDIN_MANUAL,Arabic merchant onboarding at scale,PREPARE_DM,queued,,58,PREPARE_DM
Mnzil,Proptech,mnzil.co,SA,DIRECT_CUSTOMER,public_page,https://mnzil.co,$11.7M Series A,0 tools (SPA),15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Proptech lead qualification,PREPARE_DM,queued,,42,PREPARE_DM
Logexa,Logistics,logexa.com,SA,DIRECT_CUSTOMER,public_page,https://logexa.com,$2M pre-Series A,0 tools,14,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,B2B quote workflow,PREPARE_DM,queued,,41,PREPARE_DM
Nana,Grocery Delivery,nana.sa,SA,DIRECT_CUSTOMER,public_page,https://nana.sa,B2C grocery delivery,0 tools,7,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,B2B supplier pipeline angle,PREPARE_DM,queued,,34,PREPARE_DM
Jahez,Food Delivery,jahez.net,SA,DIRECT_CUSTOMER,public_page,https://jahez.net,Restaurant onboarding,0 tools,7,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Restaurant acquisition SDR,PREPARE_DM,queued,,34,PREPARE_DM
SiFi,Corporate Fintech,sifi.co,SA,DIRECT_CUSTOMER,public_page,https://sifi.co,B2B corporate banking,0 tools,16,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,Corporate acquisition angle,PREPARE_DM,queued,,43,PREPARE_DM
Hakbah,Fintech,hakbah.sa,SA,DIRECT_CUSTOMER,public_page,https://hakbah.sa,4 tools detected,4 tools,24,LOW,P2,CEO,LINKEDIN_MANUAL,B2B partnerships angle,PREPARE_DM,queued,,61,PREPARE_DM
Merit Incentives,HR Tech,meritincentives.com,AE,DIRECT_CUSTOMER,public_page,https://meritincentives.com,HR SaaS MENA,1 tool,11,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,HR Tech B2B sales,PREPARE_DM,queued,,40,PREPARE_DM
Bayzat Saudi,HR SaaS,bayzat.com,AE-SA,DIRECT_CUSTOMER,public_page,https://bayzat.com,HR SaaS KSA expansion,1 tool,17,LOW,P2,Regional lead,LINKEDIN_MANUAL,KSA expansion acceleration,PREPARE_DM,queued,,47,PREPARE_DM
Peak Content,Marketing Agency,peakcontent.ae,AE,AGENCY_PARTNER,public_page,https://peakcontent.ae,Service exchange target,0 tools (SPA),12,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Agency partner retainer add-on,PREPARE_PARTNER_PITCH,queued,,39,PREPARE_PARTNER_PITCH
Digital8,Marketing Agency,digital8.ae,AE,AGENCY_PARTNER,public_page,https://digital8.ae,Full-service agency,0 tools (SPA),12,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Agency setup + 25% MRR,PREPARE_PARTNER_PITCH,queued,,39,PREPARE_PARTNER_PITCH
Brand Lounge,Branding Agency,thebrandlounge.ae,AE,REFERRAL_PARTNER,public_page,https://thebrandlounge.ae,Enterprise referral,0 tools (SPA),12,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Referral 10% 12 months,PREPARE_PARTNER_PITCH,queued,,37,PREPARE_PARTNER_PITCH
Qatar Digital,Digital Agency,qatardigital.qa,QA,AGENCY_PARTNER,public_page,https://qatardigital.qa,KSA/UAE agency,0 tools,12,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Multi-market agency,PREPARE_PARTNER_PITCH,queued,,39,PREPARE_PARTNER_PITCH
Wavy,Digital Marketing,wavy.sa,SA,AGENCY_PARTNER,public_page,https://wavy.sa,White-label candidate,0 tools (SPA),7,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,White-label 30% MRR,PREPARE_PARTNER_PITCH,queued,Enterprise KSA — highest priority,34,PREPARE_PARTNER_PITCH
Serviceplan,Integrated Marketing,serviceplan.com,DE-SA,AGENCY_PARTNER,public_page,https://serviceplan.com,Enterprise clients,0 tools,2,LOW,BACKLOG,Lead,LINKEDIN_MANUAL,Enterprise partnership,PREPARE_PARTNER_PITCH,queued,,29,PREPARE_PARTNER_PITCH
Intermarkets,B2B Marketing,intermarkets.com,AE,AGENCY_PARTNER,public_page,https://intermarkets.com,SaaS clients,0 tools,4,LOW,BACKLOG,Lead,LINKEDIN_MANUAL,B2B SaaS agency partner,PREPARE_PARTNER_PITCH,queued,,31,PREPARE_PARTNER_PITCH
MSL Saudi,PR Marketing,mslgroup.com,Global-SA,REFERRAL_PARTNER,public_page,https://mslgroup.com,Enterprise PR,1 tool,2,LOW,BACKLOG,Lead,LINKEDIN_MANUAL,PR referral path,PREPARE_PARTNER_PITCH,queued,,30,PREPARE_PARTNER_PITCH
Rekaz,SMB SaaS,rekaz.io,SA,DIRECT_CUSTOMER,knowledge,,SMB SaaS Saudi,unknown,17,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Warehouse ops SaaS,PREPARE_DM,queued,,44,PREPARE_DM
Lucidya CTO,SaaS CXM,lucidya.com,SA,DIRECT_CUSTOMER,knowledge,,Technical angle to CTO,see Lucidya,17,LOW,P2,CTO,LINKEDIN_MANUAL,Technical integration angle,PREPARE_DM,queued,Secondary contact in Lucidya,45,PREPARE_DM
Hatem Kameli,SaaS CXM,lucidya.com,SA,DIRECT_CUSTOMER,knowledge,,Co-founder angle,see Lucidya,17,LOW,P2,Co-founder,LINKEDIN_MANUAL,Co-founder peer angle,PREPARE_DM,queued,Secondary contact in Lucidya,45,PREPARE_DM
Mosab Alothmani,SaaS Restaurant,foodics.com,SA,DIRECT_CUSTOMER,knowledge,,Co-founder of Foodics,see Foodics,17,LOW,P2,Co-founder,LINKEDIN_MANUAL,Co-founder alt path,PREPARE_DM,queued,Secondary contact in Foodics,45,PREPARE_DM
Yamamah,F&B Chain,yamamahgroup.sa,SA,DIRECT_CUSTOMER,knowledge,,Multi-branch restaurants,unknown,7,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,F&B franchise lead qualification,RESEARCH_MORE,queued,Research franchising channel,34,PREPARE_DM
Albaik,F&B Chain,albaik.com,SA,DIRECT_CUSTOMER,knowledge,,Iconic Saudi chain,unknown,7,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,Franchise inquiries pipeline,RESEARCH_MORE,queued,,34,PREPARE_DM
Herfy,F&B Chain,herfy.com,SA,DIRECT_CUSTOMER,knowledge,,Public company F&B,unknown,7,HIGH,BACKLOG,CEO,HOLD_FOR_APPROVAL,B2B supplier channel,RESEARCH_MORE,queued,Public company — governance heavy,34,PREPARE_DM
AlMarai,F&B Supplier,almarai.com,SA,STRATEGIC_PARTNER,knowledge,,Dairy + F&B supplier,unknown,7,LOW,BACKLOG,Head of trade,PARTNER_INTRO,Supplier integration path,RESEARCH_MORE,queued,,32,PREPARE_PARTNER_PITCH
Dammam Hospitals,Healthcare,,SA,DIRECT_CUSTOMER,knowledge,,Medical chains,unknown,7,LOW,BACKLOG,Owner,LINKEDIN_MANUAL,Clinic WhatsApp bookings,RESEARCH_MORE,queued,Need specific names,34,PREPARE_DM
Al Mouwasat Hospital,Healthcare,mouwasat.com,SA,DIRECT_CUSTOMER,knowledge,,Hospital group,unknown,7,LOW,BACKLOG,Marketing head,LINKEDIN_MANUAL,Booking-heavy ops,PREPARE_DM,queued,,34,PREPARE_DM
Dr Sulaiman AlHabib,Healthcare,hmg.com.sa,SA,DIRECT_CUSTOMER,knowledge,,Hospital group (public),unknown,7,LOW,BACKLOG,Marketing head,LINKEDIN_MANUAL,Hospital lead response,RESEARCH_MORE,queued,Public company,34,PREPARE_DM
Dar Al Hekma,Education,darwalhekma.edu.sa,SA,DIRECT_CUSTOMER,knowledge,,Private university,unknown,7,LOW,BACKLOG,Director of admissions,LINKEDIN_MANUAL,Admissions inquiries funnel,RESEARCH_MORE,queued,,34,PREPARE_DM
Alfaisal University,Education,alfaisal.edu,SA,DIRECT_CUSTOMER,knowledge,,Private university,unknown,7,LOW,BACKLOG,Director of admissions,LINKEDIN_MANUAL,Admissions inquiries funnel,RESEARCH_MORE,queued,,34,PREPARE_DM
Alghanim Industries,Conglomerate,alghanim.com,KW-SA,DIRECT_CUSTOMER,knowledge,,Retail + B2B,unknown,2,LOW,BACKLOG,Digital director,LINKEDIN_MANUAL,Multi-brand lead management,RESEARCH_MORE,queued,Complex organization,29,PREPARE_DM
IKEA Saudi,Retail,ikea.com/sa,SA,DIRECT_CUSTOMER,knowledge,,Retail giant KSA,unknown,12,LOW,BACKLOG,Marketing head,LINKEDIN_MANUAL,B2B showroom inquiries,RESEARCH_MORE,queued,Enterprise — complex procurement,39,PREPARE_DM
AppQuality,Recruitment,bayt.com,Global-SA,REFERRAL_PARTNER,knowledge,,Recruitment platform,unknown,2,LOW,BACKLOG,Regional BD,LINKEDIN_MANUAL,Recruitment platform integration,RESEARCH_MORE,queued,,27,PREPARE_PARTNER_PITCH
Naseeb,Recruitment,naseeb.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi recruitment,unknown,7,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Recruitment AI SDR,PREPARE_DM,queued,,34,PREPARE_DM
Tabby,BNPL Fintech,tabby.ai,AE-SA,DIRECT_CUSTOMER,knowledge,,BNPL fintech,unknown,16,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,Merchant acquisition similar to Tamara,PREPARE_DM,queued,,43,PREPARE_DM
Rewaa,POS SaaS,rewaa.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi POS platform,unknown,17,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,Merchant onboarding Arabic SDR,PREPARE_DM,queued,,44,PREPARE_DM
Mocinno,Accelerator,mocinno.com,SA,REFERRAL_PARTNER,knowledge,,Startup accelerator,unknown,7,LOW,BACKLOG,Partnerships,LINKEDIN_MANUAL,Portfolio intro referrals,PREPARE_PARTNER_PITCH,queued,,32,PREPARE_PARTNER_PITCH
Misk Foundation,Accelerator,misk.org.sa,SA,REFERRAL_PARTNER,knowledge,,Saudi innovation foundation,unknown,7,LOW,BACKLOG,Startup program lead,LINKEDIN_MANUAL,Portfolio company referrals,PREPARE_PARTNER_PITCH,queued,,32,PREPARE_PARTNER_PITCH
Sanabil,Investor,sanabilinvestments.com,SA,INVESTOR_OR_ADVISOR,knowledge,,VC fund PIF subsidiary,unknown,7,MEDIUM,BACKLOG,Portfolio partner,EMAIL,Advisor intro to portfolio,PREPARE_INVESTOR_NOTE,queued,,28,PREPARE_INVESTOR_NOTE
STV,Investor,stv.com,SA,INVESTOR_OR_ADVISOR,knowledge,,MENA VC,unknown,7,MEDIUM,BACKLOG,Principal,EMAIL,Portfolio intro to SaaS clients,PREPARE_INVESTOR_NOTE,queued,,28,PREPARE_INVESTOR_NOTE
Wamda Capital,Investor,wamdacapital.com,AE-SA,INVESTOR_OR_ADVISOR,knowledge,,MENA VC + media,unknown,7,MEDIUM,BACKLOG,Partner,EMAIL,Content collaboration + portfolio intro,PREPARE_INVESTOR_NOTE,queued,,28,PREPARE_INVESTOR_NOTE
