company,sector,website,country,opportunity_type,source,source_url,signals,tech_stack,fit_score,risk_score,priority,decision_role,channel,recommended_message,next_action,status,notes,priority_score_num,recommended_action
Foodics,SaaS Restaurant,foodics.com,SA,DIRECT_CUSTOMER,public_page,https://foodics.com,Series C $170M + hiring sales + WhatsApp widget + HubSpot,HubSpot;WhatsApp Widget;GTM;HubSpot Forms;WordPress,27,LOW,P1,CEO,LINKEDIN_MANUAL,Series C onboarding scale hook,PREPARE_DM,queued,Tech confirmed: WhatsApp-native sales,78,PREPARE_DM
Lucidya,SaaS CXM,lucidya.com,SA,DIRECT_CUSTOMER,public_page,https://lucidya.com,Saudi native CXM + B2B enterprise,4 tools detected,27,LOW,P1,CEO,LINKEDIN_MANUAL,Surname affinity + CXM B2B angle,PREPARE_DM,queued,Priority — surname connection,70,PREPARE_DM
Sary,B2B Marketplace,sary.com,SA,DIRECT_CUSTOMER,public_page,https://sary.com,50K SMB retailers,3 tools,16,LOW,P2,Co-founder,LINKEDIN_MANUAL,Merchant success motion,PREPARE_DM,queued,,61,PREPARE_DM
Hakbah,Fintech,hakbah.sa,SA,DIRECT_CUSTOMER,public_page,https://hakbah.sa,4 tools detected,4 tools,24,LOW,P2,CEO,LINKEDIN_MANUAL,B2B partnerships angle,PREPARE_DM,queued,,61,PREPARE_DM
Lean Technologies,Fintech API,leantech.me,SA,DIRECT_CUSTOMER,public_page,https://leantech.me,300+ API customers + SE bottleneck,2 tools,21,LOW,P2,CEO,LINKEDIN_MANUAL,SE pre-qualification layer,PREPARE_DM,queued,API-first fintech,58,PREPARE_DM
Jarwal,Marketing Agency,jarwal.com,SA,AGENCY_PARTNER,knowledge,,Saudi digital agency,unknown,15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Agency partner,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Bold Studio,Creative Agency,boldstudio.sa,SA,AGENCY_PARTNER,knowledge,,Saudi creative agency,unknown,15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Creative + service exchange,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Netaq,Marketing Agency,netaq.com,SA,AGENCY_PARTNER,knowledge,,Saudi marketing agency,unknown,15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Agency partner,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Red Box,Agency,redbox.sa,SA,AGENCY_PARTNER,knowledge,,Saudi agency,unknown,15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Agency partner,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Nohayati,Agency,nohayati.com,SA,AGENCY_PARTNER,knowledge,,Saudi content agency,unknown,15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Content + referral,PREPARE_PARTNER_PITCH,queued,,42,PREPARE_PARTNER_PITCH
Salla,E-commerce Platform,salla.sa,SA,STRATEGIC_PARTNER,public_page,https://salla.sa,70K merchants + CRM + GA4 + Salla platform,Salla;HubSpot;GTM;GA4;WordPress,12,LOW,P2,CEO,PARTNER_INTRO,Platform add-on via app store,PREPARE_PARTNER_PITCH,queued,Strategic — distribution layer,56,PREPARE_PARTNER_PITCH
Zid,E-commerce Platform,zid.sa,SA,STRATEGIC_PARTNER,public_page,https://zid.sa,15K+ merchants,3 tools,12,LOW,P2,Co-founder,PARTNER_INTRO,Platform add-on similar to Salla,PREPARE_PARTNER_PITCH,queued,Zid merchants distribution,55,PREPARE_PARTNER_PITCH
STC Pay,Fintech,stcpay.com.sa,SA,STRATEGIC_PARTNER,knowledge,,Saudi wallet,unknown,19,LOW,BACKLOG,BD head,PARTNER_INTRO,Payment integration partner,PREPARE_PARTNER_PITCH,queued,,44,PREPARE_PARTNER_PITCH
Majarra,Content Platform,majarra.com,AE,CONTENT_COLLABORATION,knowledge,,Arabic content platform,unknown,4,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Content collab on Arabic SaaS,PREPARE_DM,queued,,25,PREPARE_DM
Abdullah Alzahrani,Content Creator,,SA,CONTENT_COLLABORATION,knowledge,,Saudi business content,unknown,7,LOW,BACKLOG,Creator,LINKEDIN_MANUAL,Content collab,PREPARE_DM,queued,,28,PREPARE_DM
